id,uid,type,data,created_at,updated_at
1,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,INSTALLED,"{""_id"": ""6cbfdf51-0dda-4a27-a0b8-9f360aef047b"", ""_rev"": ""1-8bd0a7a4bf0571d567b5c665eef2e651"", ""time"": ""2020-04-24T14:02:37.384Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""frame_version"": ""0.4""}","2020-04-24 14:02:38","2020-04-24 14:02:38"
2,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,OPEN,"{""_id"": ""70751bf9-ebdb-4b48-b037-38c70b3b5f6a"", ""_rev"": ""1-5bf06c0c6c7b0b95372e123f1150cbe2"", ""time"": ""2020-04-24T14:02:35.776Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""returning"": true}","2020-04-24 14:02:39","2020-04-24 14:02:39"
3,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,ACTIVATE,"{""os"": ""9"", ""_id"": ""98634b52-828f-4ff6-964d-3575745ad5d1"", ""_rev"": ""1-1956c4692733378ca692b7d67f2626bc"", ""time"": ""2020-04-24T14:02:37.346Z"", ""model"": ""Redmi Note 7"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": {""width"": 393, ""height"": 851}, ""user_agent"": ""Mozilla/5.0 (Linux; Android 9; Redmi Note 7 Build/PKQ1.180904.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/81.0.4044.117 Mobile Safari/537.36"", ""manufacturer"": ""Xiaomi""}","2020-04-24 14:02:39","2020-04-24 14:02:39"
4,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""d5d9d7ca-a675-4fbf-b54f-90e5206e5c95"", ""_rev"": ""1-93c397a5b3e8875468b1e5cd88d7dc5b"", ""time"": ""2020-04-24T14:02:35.871Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:02:39","2020-04-24 14:02:39"
5,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""ea6559b0-e407-4c29-8dcd-3f5015887965"", ""_rev"": ""1-44f9e7bf1f1c8e5c0464f85f34a5f889"", ""time"": ""2020-04-24T14:02:50.672Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:02:51","2020-04-24 14:02:51"
6,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN,"{""_id"": ""9ad09b51-5fcb-4c0a-9543-62c3a8a3c5c8"", ""_rev"": ""1-90f9123e09b56490cd27595ce9c28eab"", ""time"": ""2020-04-24T14:02:55.222Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8=""}","2020-04-24 14:02:55","2020-04-24 14:02:55"
7,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,SHARE_SCAN_LOCATION,"{""_id"": ""ef7ab556-39be-4eb6-adf1-544be3259302"", ""_rev"": ""1-b5fa78b311f21f6c8a01af3b26b52b6c"", ""time"": ""2020-04-24T14:02:56.824Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""bearing"": 0, ""accuracy"": 23.836000442504883, ""altitude"": -29.69999885559082, ""latitude"": 23.7579031, ""longitude"": 90.3679983, ""breaking_accuracy"": 0}","2020-04-24 14:02:57","2020-04-24 14:02:57"
8,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""ab525693-108a-4d01-9d19-c18ae3498868"", ""_rev"": ""1-c6795ae1547db2c82be0d08f20d4ed99"", ""time"": ""2020-04-24T14:03:04.204Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:04","2020-04-24 14:03:04"
9,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,OPEN,"{""_id"": ""ad874f65-1c43-4ff6-aa25-cdf6dfa1d7f0"", ""_rev"": ""1-2ff844f40ca266b2090d1da38be31695"", ""time"": ""2020-04-24T14:03:23.640Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""returning"": true}","2020-04-24 14:03:25","2020-04-24 14:03:25"
10,dc76bc81-f33a-4dc4-ab72-bd0a0ed4edf4,NAVIGATE,"{""_id"": ""faaea51c-781f-45c2-bec7-b07b81b0df78"", ""_rev"": ""1-7df7fa27497a874c368b1a8494b2c1f9"", ""time"": ""2020-04-24T14:03:23.771Z"", ""_token"": ""vibhlDUflRbTn__HvUm5iOiKpKe1x4PztHMtA6cTPF8="", ""screen"": ""get-home""}","2020-04-24 14:03:25","2020-04-24 14:03:25"
